,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.055556,0,0,0.111111,0,0,0.055556,0,0,0.027778,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.055556,0,0,0.111111,0,0,0.055556,0,0,0.027778
,0,0,0,0,0,0,0,0,0,0,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.027778,0,0,0.055556,0,0,0.111111,0,0,0.055556,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.027778,0,0,0.055556,0,0,0.111111,0,0,0.055556,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.027778,0,0,0.055556,0,0,0.111111,0,0,0.055556
,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.111111,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.111111,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.111111
,pos,vel,acc,,,KU,KU/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,0,-128.2045938,125000.6,,32.051275,128.2045938,,,-128.2045938,1,1,1,-128.2045938,-769.2308,1.13687E-13,,,,,,,,,,,,,,,,,,,,
2,0,0,-769.2308,0,,96.15385,769.2308,,,-128.2045938,4,1,2,-128.2045938,-769.2308,-2.27376E-13,,,,,,,,,,,,,,,,,,,,
